Nom;Fonction;Adresse;Tel;Site Web
CERTIF VAE;Conseiller accompagnement ingenierie de certification RNCP;38 rue edmond rostand Meyzieu (69330);0777369001;
Corps En Eveil;Gym en conscience, kinésithérapeute;13 rue des Capucins Lyon (69001);0649859268;https://www.corpseneveil.fr/
Dessinlytics;Dessinateur projeteur en chaudronnerie, serrurerie métallerie;5 rue des Acacias Le Chesnay (78150);0651814625;https://dessinlytics.site-solocal.com/
Stephanie FASSERO;Services aux Entreprises;47 RUE LES ROSELIERES Châteauneuf-les-Martigues (13220);0760801665;http://www.sf-achat.fr
Didier REDE;Peintre d'intérieur et en peinture décorative;Créteil (94000);0632389885;http://couleur3-peinture-decoration.fr
Manola DUEZ;Consultante psychologue du travail et formatrice;Nancy (54000);;
Pascale PASQUIER;Transcriptrice;Gabriac (48110);;http://www.e-servicesplus.fr
EIRL LE ROUX CHRISTINE;Recrutement et Conseils en compléments alimentaires;17 RUE DE PORNIC Machecoul (44270);0613556643;http://www.aloes44.fr
atelier7404  EIRL OlivierMarion;architecte d'intérieur UNAID/AAI  consultant Qualic&AMO;Allos (04260);0685681208;http://www.espritsud.com
Thérasport;Coach sportif;Arras (62000);0643400411;http://therasport.fr/
jlgformation J-L Galand;FORMATEUR;50 Chemin de la messe Saint-Sulpice-de-Royan (17200);0643406825;http://www.jlgformation.fr
AB-R SERVICES RACHID ABLOUH;MAINTENANCE INSTALLATIONS THERMIQUES GAZ ET CLIMATISATIONS;Terssac (81150);0662589283;
JLM PAYSAGE;PAYSAGISTE;16 RUE DE LA BATISSE Ambérieu-en-Bugey (01500);0474383044;https://www.jlmpaysage.net/
BENHARROUS maurice;Votre syndic non professionnelle;15 quai de la garonne 75019 paris Paris 11 (75011);0614940815;
KSH Translations;Traductrice polonais;Dijon (21000);0760178657;https://www.siegelhertz-translations.eu/fr/
Christine BEAUJEAU;Assistante de Direction/Aide Comptable;14 Grand Rue Poussan (34560);+33609628066;
Horizon deco;Décoratrice désigner d intérieur;Sceaux (92330);0607220688;http://www.horizon-deco.fr
LA CLE DU LIEN;Formatrice en pédagogie positive;Saint-Dézéry (30190);0649321636;https://www.lacledulien.com
La RÉSERVE;Galerie d'Art;31 rue du Château Auray (56400);02.97.29.73.52;
ADGS Performance;Secrétaire Indépendante;Saint-Jean-de-Braye (45800);0623557613;
Anglais Face2Face;Professeur d'anglais;Neulliac (56300);0634421993;https://www.anglais-face2face.fr
Créations De Véro;Gravure sur verre;Sermaise (49140);;https://www.facebook.com/creationdevero/
TRACTOCASECONSEIL;négoce tracteurs et matériels agricoles d’occasion;53 allée du bord de l’eau Paillet (33550);0680909393;
FastochePC11;Dépannage et conseil informatique;Mailhac (11120);0617498183;https://fastochepc11.fr
Marion PALM;Office manager Chargée de communication;42, rue J Macé Brest (29200);0621013525;https://www.marionpalm.com
KASEAS;Service à la personne;19 avenue paul cocat Grenoble (38100);0641598947;https://www.kaseas38.fr
DJ GAR-L;DJ, animateur de soirées dansantes;Mons (31280);0650511265;http://djgar-l.over-blog.com
KOENIG SECURITE INCENDIE;PROTECTION INCENDIE ( EXTINCTEURS PLANS ETC....);ROUTE DE HERRLISHEIM AU MOULIN PETERSCHMITT Biltzheim (68127);0615324283;
Virtuelle (Solutions);Assistante multilingue à distance;6 le Baril Machecoul (44270);0228278939;https://virtuellesolutions.com
Poret Joëlle;animateur art. Enseignement artistique. Art-thérapeute;Messé (79120);;
Esthética domicile;Esthéticienne à domicile;32 Bd Anatole France Avignon (84000);0616565323;
Limbach Olivier OJML RECOUVREMENT;recouvrement de créances;14 rue de Cherbourg Strasbourg (67100);0783928095;
langles3c;nettoyage courant des locaux;812 rue centrale st andéol le chateau (69700);0660650186;
JF Théry Formations;Formateur en informatique (spécialité mobiles) et Telecom;Chevreuse (78460);0616546992;https://jfthery78.wixsite.com/formations
Brigitte  MOUDAT;Educatrice Sportive - Animatrice couture - Couturière-Retoucheuse;18 rue des neules nods Saules (25580);0628295110;
Laure GILLERON;traductrice/relectrice/correctrice;742 route de Bellet Nice (06200);0610544033;http://gilleron-laure.business.site
Michelle Gonzalez Photographe;Photographe;Angervilliers (91470);;http://www.michellegonzalez.fr
Alyna Photographe;Photographe;Gorrevod (01190);;https://www.alyna-photographe.com/
Gaudilliere;Votre métier plaquiste, menuiserie, isolation.;2 rue des jardins Saint-Denis-d'Oléron (17650);0646353055;
SOLUTIONS D'EXTERNALISATIONS;ASSISTANT INDEPENDANT;Pline Calais (62100);06.06.821.68;https://www.solutions-dexternalisations.fr
La Colonie, Maison d'Hôtes;Maison d'Hôtes (chambres et lofts);La Colonie Maison d'hôtes Aubrac (12470);+33565516479;http://la-colonie.com
AIR & IMAGE;Vidéo, photo et inspections techniques par drone;Meyrargues (13650);0633006698;https://air-image.pro
Dream Information Technology;Votre métier;Saint-Quentin (02100);0666520894;http://www.dreaminformationtechnology.fr/
christian montabonnet;consultant conseiller : référentiels de certification, ingénierie de formation et de certification, aide aux demandes d'enbregistrements aux répertoire nationaux des certifications professionnelles;38 rue Edmond Rostand Meyzieu (69330);0777369001;http://www.f2si.segency.com
JPN Informatique;Spécialiste internet et réseaux, revendeur et installateur de solutions Informatiques;2 rue du Maréchal MAUNOURY Rosny-sous-Bois (93110);0682904157;
Assist-avocats;Assistante juridique;9 rue de la Beauce Ablis (78660);0612090353;http://assist-avocats.wifeo.com
Cabinet de sophrologie Sandrine BARTHELEMY;SOPHROLOGUE;15 bd Léon JOUHAUX galerie de l'Olivier Istres (13800);0615799718;http://www.sandrine-barthelemy.fr
Helene ARQUES;Gestalt-therapeute (psychothérapie);8 Allée des pervenches Saint-Nazaire (44600);0688315759;http://gestalt-therapie-relationdaide.fr
ESD SERGE DEFREMONT;Vente de logiciels sur Internet;227 Bd Remi Belleau Saint-Raphaël (83700);0769733775;http://www.esd83.fr
saint andre depannage mr crouzeilles charles;plombier chauffagiste;4 rue des menhirs Saint-Gervais (33240);0660784475;
corinne dupuy;sophrologue;16 avenue de paris Vincennes (94300);0662447603;https://www.sophro-resilience.com/pages/sophrologie/sophrologie.html
SPEED FORMALIS;Formaliste juridique / Assistante juridique;5 rue de vert le Grand Écharcon (91540);0777371712;http://www.speedformalis.com
Nathalie D'herde;Télésecrétaire;Cuisiat (01370);0973013600;http://www.tdnd-tel.fr
Antoine DUBOIS;Business Consultant;Paris 15 (75015);;
TOUTES EN LAINE;E-commerce de laine à tricoter;1650 route de La Garde Perreux (42120);0477653006;https://www.toutesenlaine.com/
GONZALES GISELE;ETS de NETTOYAGE;8 rue du glacie Marseillan (34340);0752038613;
Elyscoding;Conception et développement web;N°16 lotissement KHALID, SIDI YAHIA ZAERS, Tamesna, MAROC Savignac (12200);+212618944940;http://www.elyscoding.com
La Licorne Ailée;Costumière sur-mesure;Cergy (95000);;https://facebook.com/LaLicorneAilee
Alexandre Gueorguiev Prod;Magicien, illusionniste, producteur;Dijon (21000);;https://www.alexgoldfire.com
LAPLACE;infographiste;53 rue saint denis Paris 1 (75001);0676804218;
Charles Suaudeau-Séroude;Psychothérapeute;Paris 10 (75010);0609596583;http://www.psychotherapie-paris.fr
Une girafe au plafond - Agnès Robin;Graphiste;Nantes (44000);0672392953;http://www.unegirafeauplafond.com
TIGERCLEAN05;Nettoyage Protection intérieur Autos-Bateaux + motos;Serre-Bouton néant Saint-André-d'Embrun (05200);0685772629;
Une souris dans la ville - Gaëlle Jammes;Graphiste;5 Allée du Cros de Peyrol Nîmes (30000);0637688696;http://www.gaellejammes.myportfolio.com
Au ruban pimpant;Créatrice de bijoux;Joué-sur-Erdre (44440);;https://www.aurubanpimpant.com/
Concepteur Internet;Développeur Web;400 rue de Kerbrat Plougoulm (29250);0298671072;http://www.concepteur-internet.fr
Oxygene77 Laurent LEMIRE;Services à la personne et à domicile;Nandy (77176);0658879856;http://www.oxygene77.com/
ET LES MOTS;Conception éditoriale et Rédaction de contenus;6 rue de la Gare de Cuire Caluire-et-Cuire (69300);0676453747;https://www.etlesmots.fr
lavoisier;soutien scolaire;50 rue duplessis Carpentras (84200);0620823988;http://www.start-soutien-scolaire.fr
Hervé Leray;Photographe-Maquettiste;3 Chemin de mez ascol Trébeurden (22560);0622836987;
Ste dépannages et services;Votre métier : plomberie Antenne et elec;23 rue emile lauze Nîmes (30000);0612247113;
France-Portugal Traductions;traduction et formation en portugais;D1 rue du Général René Keller Aix-en-Provence (13090);0668454759;https://www.franceportugal-traductions.com/
HF-SERVICES;ELECTRICIEN;74 rue du Parc Dissay (86130);0607240041;http://www.hf-services.fr
Florence Marty;Traductrice;Nanterre (92000);0611412420;
Kaothar MEZIANE/ Move2digit;Consultante en stratégie digitale;Saint-André-lez-Lille (59350);;http://www.move2digit.com
Martine EYMOND CAPIFRANCE;Conseillére immobilier;La Roche-Blanche (63670);0613187823;https://www.capifrance.fr/fr/les-conseillers-capifrance/martine.eymond
La Librairie Du Motard;documentaliste moto. (toute la documentation pour entretenir ou restaurer votre moto...);LA TEILLEDE SUD Valojoulx (24290);0553516910ou0781535173;https://www.lalibrairiedumotard.fr/
Nathalie Callenaere;Formation, Infographie;12 RUE FREDERIC MISTRAL Barjols (83670);0660169401;http://www.nathaliecallenaere.com
DomSyl Services;Services à la personne;16 Le Bourg Neuf Marcey-les-Grèves (50300);0619187138;https://domsyl-services.webnode.fr/
GH PLOMBERIE;Plombier chauffagiste;Rougeries (02140);0627230730;
Claude Chapon Menou @bc-Cigale;Écrivain-Conseil;Nîmes (30900);0608693862;http://abc.cigale.free.fr/
Temps d'un reg'Art;Photographe;40 rue de l'église Toufflers (59390);+33622208019;http://www.tempsdunreg-art.com
Greenfrog garden design;Paysagiste concepteur;16 La Clairière Lévignac (31530);0633454281;https://www.greenfrog.fr/
ASSISTANCE BUREAUTIQUE SECRETARIAT;Secrétaire indépendante;Labastide-du-Temple (82100);0699317091;
Open-Elearning;Consultant elearning spécialisé en solutions open source;Castres (81100);;https://www.open-elearning.com
guy bouko;EXPERT EN EVALUATION IMMOBILIERE;ALLEE DU HAUT DES CHENES Saint-Nicolas-de-Port (54210);0608773537;
Des Racines et des Mots;Ecrivain biographe rédactrice historienne;L'Huisserie (53970);0665006444;http://www.richir.fr
Maçon-Création;Maconnerie;3 rue Charles Trenet Mèze (34140 );0644971031;http://macon-creation.fr
Daufouy;Therapeute Magnetiseur;Nantes (44000);33662842188;http://jeanyves-daufouy.com/
AK-SUPPORT;JURISTE;Châtenay-Malabry (92290);0680494889;http://ak-support.fr
LES GRANDS CHAMPS;CHAMBRES D'HOTES;3954 route du lac Les Grands champs Attignat-Oncin (73610);0479444185;http://www.lesgrandschamps.fr
Jean-Marie Pucel;bricoleur;38 rue Guillaume Trébutien Caen (14000);0635566725;http://www.mpjs.info
FYF Consulting Francois Fossey;Conseils aux entreprises - Marketing - R&D - Product Sourcing;69 rue saint jacques Paris 5 (75005);635093974;
NMC DATA PROTECT;JURISTE;Holtzheim (67810);;http://nmc-alsace.fr/
baume-tigre-sauvage;grossiste;11 avenue allary Limeil-Brévannes (94450);0172501012;http://www.baume-tigre-sauvage.com
Agence Argos;Détective privé;80 des Navigateurs La Grande-Motte (34280);0679715625;
FLPLAN;Dessinateur Batiment;Orvault (44700);0621835595;
Benjamin GARCIA;Peintre en batiment;Sèvres (92310);0662825582;
ALPHA COMMUNICATION;agence de communication;4 rue des horticulteurs Cormontreuil (51350);0601076822;http://www.alphacommunication.fr
France Snowboard;Cours de snowboard / Services aux écoles;Rumilly (74150);0687192329;http://www.france-snowboard.fr
Delanchy Immobilier;mandataire immobilier;8 chemin du Lavoir Tocane-Saint-Apre (24350);0689012461;http://www.delanchyimmobilier.fr/
Delphine Lhernould;Sophrologue;9 impasse Diderot Limoges (87000);0625229155;
Bee Badge;Fabricant de badges, magnets et porte-clés;Cahors (46000);0787193591;http://www.beebadge.fr
2MFORMA;Apporteur d'affaires;Sainte-Foy-lès-Lyon (69110);;http://www.2mforma.fr/
Félise ROZO Hypnose-Energie;Hypnothérapeute - Professeur de QI GONG;2BIS RUE DES CORDEIRS Péaule (56130);0681683861;http://www.centre-hypnose-energie.fr
QUALIJOUET;Vente de jouets et jeux;15 rue du champ Mousseaux-Neuville (27220);0232374832;http://www.qualijouet.fr
les Ânes de Vassivière;Gestionnaire d'hébergements touristiques;Champseau Peyrat-le-Château (87470);0555694143;https://www.anes-de-vassiviere.com/
Un espace en Soi;Coach Bien Être;48 rue Thiers Tourcoing (59200);0658322725;http://www.espace-en-soi.com/index.php
Suzanne OMGBA;Traductrice;Auxerre (89000);;
JP-NETT'SERVICES;nettoyage de vitres;8 place george guissy Saint-Louis (68300);0611983889;
DENIS JEAN MARC;peintre en batiment décorateur;07 chemin de la roze Mirande (32300 );0678332549;
GERARD MARCHAND;RESPONSABLE REGIONAL  TELEASSISTANCE  POUR EUROP ASSISTANCE;37 Impasse Raymond Sabarich, 31100 Toulouse, France Toulouse (31100);+33631794461;
Caroline Chevigny;Conseil en Ressources Humaines et Accompagnement Professionnel;6 allée des jardins Louveciennes (78430);0663738926;https://caroline.chevigny.com/
William sainson;services à la personne petits bricolages et jardinage;8 route de villaray Monthoiron (86210);06.85.01.88.99;
BSANTAGUILIANA;conseil en maintenance;13 rue Monestié Appartement 03 Plaisance-du-Touch (31830);0670486859;
BSN GESTION;GESTION ADMINISTRATIVE ET COMMERCIALE;Marseille (13013);0658514607;http://www.bsngestion.com
Manon Bosc;Traffic Manager;Cagnes-sur-Mer (06800);;https://mb-webmarketing.com
bien etre et Naturopathie;Naturopathe, Réflexologue Plantaire, Educateur Sportif;Melrand (56310);0685345878;http://bien-etre-naturopathie.com
KORIN FRANCE;IMPORTATION ET VENTE DE COUTEAUX DE CUISINE JAPONAIS;Bourg-Saint-Bernard (31570);0674916060;http://www.korin-france.fr
VivaWeb;Webmaster;Castres (81100);0638552714;https://www.vivaweb.fr/
Photographie & moi;Photographe;Épieds-en-Beauce (45130);0629924450;https://www.photographie-et-moi.fr
POTENTCIELS SAS;Coach & Formateur;Couiza (11190);0611704333;https://designhumain.eu/
Sabine DUMAS;Coach-Praticienne PNL;149 avenue du Pré La Ciotat (13600);0615215024;https://sabinedumas.wixsite.com/sabinedumascoachpnl
Coach.JMR;Coach;Saint-Victor (03410);;
Qalam Office Services;Office Manager Indépendant;Champigny-sur-Marne (94500);0616399626;
Nadine Guigard;Chargée de veille et sourcing;Villeurbanne (69100);;
valorge alain;Consultant en qualité;21, rue Kosma Besançon (25000);;
MP photograpy;Photographe;296 rue de l'espoir villa N27 Nîmes (30900);0623953906;https://www.studio-pmorgan-photography.com/
Fruge Fred;Gestalthérapie - Psychothérapie;Poitiers (86000);0679570904;
Pierre-Antoine MONTEZ EIRL;Ingénieur - Traducteur technique;68 Cours Émile Zola Villeurbanne (69100);;https://www.ittechnicaltranslation.com/
Natur'elle déco;Peintre decoratrice;15 LA FOSSARDIERE Pipriac (35550);0685661407;
Confort habitat;Electricien;Ambarès-et-Lagrave (33440);0622983111;
les toits de micka;couvreur;603 rue des castelets Gueutteville-les-Grès (76460);0643099175;
egpr ezerzer;Votpeintre revetement sol et murre métier;210 rue du 8 mai 1945 Bandol (83150);0651721749;
COACH JMR Studio privé de coaching;Coach - Life coach Studio privé de coaching sportif et spécifique;Rue Frédéric Mistral Saint-Victor (03410);0760167755;http://www.coachjmr.jimdofree.com
COACH JMR STUDIO DE COACHING PRIVÉ & VIP;Coach - Life coach - Coach minceur Studio privé de coaching sportif et spécifique;Rue Frédéric Mistral Saint-Victor (03410);0760167755;http://www.coach-jmr.jimdofree.com
Corinne LECLERC- GEST-ADMIN-LC;Prestataire de service administratif;Cavée Des Écameaux Elbeuf (76500);0630037602;http://www.gest-admin-lc.fr
SALIOU GILDAS;SALIOU GILDAS;59 RUE NIELS BOHR - BAT B Marseille (13013);0686764859;https://gildas-saliou.com/
Manosque  Assistance  Implantation  Provence     MAIP;Domiciliaion Commerciale;221 d'en Dessous Les Terrasses du Sud Manosque (04100);0614302958;http://www.maip-provence.com
E.R.S Informatique;Dépannage informatique, réseaux, télécoms, affichage dynamique;9 lotissement la Crouée Arrancy-sur-Crusne (55230);0779823257;https://www.info-ers.fr
AFRICA-MODE;Commerce;5 rue Gustave flaubert 5 Rue Gustave Flaubert Beauvais (60000);06.21.10.10.45;https://africa-mode.com
Adforyou;Consultant Webmarketing - Spécialiste Google Adwords;125 avenue de la République Bessancourt (95550);0621344434;http://www.adforyou.fr
L'Usine à Trucs / Baptiste Emile;Infographie / Web & Design;Villefranche-sur-Saône (69400);0689651489;https://www.lusineatrucs.fr
"""On voit la mer !""";Relecture Correction Rédaction Transcription;2 rue Porte Baussenque Marseille (13002);0627896205;
Laurie Le Borgès;Hypnothérapeute;11 rue Sainte-Marthe Paris 10 (75010);0683980124;https://www.hypnose-paris-10.com
DG Studio Création;Graphiste, site internet, développement application,photographe;Boucau (64340);0608043415;http://www.dgsc.fr
Pascale Pitrou;Dessinateur dwg;12 rue Alfred Courbon Istres (13800);611813975;
Marie-Anne Jarry - Hypnose;Hypno praticienne;Villenave-d'Ornon (33140);06.82.15.39.54;https://www.marieannejarry-hypnose.fr
LEREV 64;LEREV 64;10 r des pyrenees Gomer (64420);0616922195;http://lerev64.com
Tony Trincart;Économiste de la construction;10 rue de Guermantes Cesson (77240);0615416338;
Taranga Communication;conception rédaction / conseil en communication / formation en communication;59 rue de la Rivière Saint-Pavace (72190);0699680398;http://www.taranga.fr
palmieri florence;Fleuriste;Drap (06340);0619995014;
NAVAS GRAPHIC;infographiste / pao / publicité / communication / design;12 rue des Acacias Méry-sur-Oise (95540);0685506372;http://www.navas-graphic.fr
Jean François ASPARO;Animateur commercial. Vin.Spiritueux.;Perpignan (66000);0607083838;
PPConsulting90;Formateur Consultant;35 bis rue du docteur Jacquot Danjoutin (90400);0771897081;https://www.linkedin.com/in/patrice-potiez-731750a2/
Maxime BRUNIER - dépannage informatique à domicile;dépannage informatique;Yenne (73170);0652698129;https://www.maxbdepannageinfo.com
medard christophe;charpentier;Sablonceaux (17600);0684240958;
Jeannette LECOURT, sophrologue, énergéticienne;Sophrologue et énergéticienne;Trébeurden (22560);0620142893;https://sites.google.com/site/zenenaltitude/Me-contacter
JLB Info Passion;Conseil et dépannage informatique;27 avenue du huit mai La Châtaigneraie (85120);0251005499;http://www.jlbinfopassion.fr
CARBONE Laurent Entreprise (CLE);Création Aménagement Rénovation du Bâtiment;8 impasse de la Font La Grande Barre Ceaulmont (36200);0768191874;
Création'Elle;Ingénieur pédagogique;Paris 20 (75020);0616117076;http://www.creationelle.com
Speakeasy Aumont Marie;Formatrice bilingue anglais courant et professionnel;30 MONTEE DE LA GARDE Francheville (69340);0770480120;
Emmanuelle Simonet;Création de site internet et Formation;Aix-en-Provence (13100);;https://formationcreationsite.fr
Paula Bearzotti;infographiste;Montcabrier (81500);;https://paulabearzotti.com/
FREROTTE FORMATION;FORMATION PREVENTION;RUE DE LA LIBERTÉ 3 Auvillers-les-Forges (08260);0614977959;
LOUIS Fabienne / HELP SECRETARIAT;SECRETAIRE FREELANCE;18, Rue Moselly - VELAINE EN HAYE BOIS DE HAYE (54840);;
loiseau;loiseau;la gare AGENT COMMERCIAL Malicorne-sur-Sarthe (72270);0681774526;http://www.arts-techniques.fr
Lucien Tholomé  - ACTIONPLUS;Coaching en marketing et publicité;Le Toucan 3 - 76 234 rue Emile Ollivier Toulon (83000);0622405175-0494160799;http://xxxxxxxxxx
Thierry Arjo;Consultant en gestion d'entreprises;6, impasse des sources Saint-Jean-de-Védas (34430);0685797920;
Graphiste Toulouse;Graphiste - Infographiste;Toulouse (31400);0659445028;https://www.graphiste-a-toulouse.com
SCRIB'AZUR - CACCIALUPI-RICHIER;Ecrivain Public - Secrétariat;241 Route Saint-Sébastien Le Broc (06510);0650608617;
Céline MORAND / Masecrétaire24.fr;Secrétaire, Assistance administrative;La Jaubertie Saint-Martin-de-Ribérac (24600);0681932216;http://www.masecretaire24.fr
Polka accompagnement;Coach professionnel;16, rue Bergère Nantes (44000);0622803405;http://polka-accompagnement.com
Adrian H. Brown;Traduction français anglais et formation;2 Route De L'escarpe Dieppe (76200);0667762066;
ENT PATRICK VALADE;Maitre d'Oeuvre;16 Sarrazine Cadillac (33410);0673245146;
Hydroraph;Ingénieur-chercheur en hydrologie et hydrobiologie estuarienne;4 rue cuvier Toulouse (31100);0608965158;http://voileactee.org/lequipe#lesmatelots
Histoire & Origines;Généalogiste Familial;151 rue de la Corderie Niort (79000);0675528300;http://www.histoireetorigines.fr/
l'Atelier d'Arthé Sigrid RAMOND;Art-thérapeute;9, rue de l'Ente Clermont-Ferrand (63000);0772279436;https://www.sigridramond.com
Rosa HENRION;Secrétaire indépendante;15 DAVIS Bayard-sur-Marne (52170);0603500683;
BUSINESS AUTO;ventes/achats entretien véhicule VL;Rue bois neuf Belfond Saint-Claude (97120);0690507632;
ASSISTANCE ORDINATEUR 34;Assistance informatique et Internet à domicile;2595 BOULEVARD PAUL VALERY Montpellier (34070);0679953588;https://www.assistance-ordinateur34.com/
Bernard Blay Consulting;Conseil en Ingénierie et organisation industrielle;23 rue de Fauvillé Margny-lès-Compiègne (60280);0681418663;http://www.bernardblayconsulting.fr
CSI du Léman;Secrétaire indépendante;156 Route de Neydens Neydens (74160);+33613761649;https://www.csi-du-leman.fr
Mayu photographie;Photographe;auxerre (89000);0631884538;http://mayu-photographie.fr
Fab-Electricité;Électricien;3 lotissement clos Rigaud Chemin Bas Adrechs Signes (83870);0617685136;
Manon Le Coutour - Orthoboost;Formatrice en orthographe/grammaire et correctrice;15 RUE DU LERRE Bacilly (50530);0698554445;http://www.orthoboost.fr
Débo Gère Tout;Conseil en Communication;Millau (12100);0632917181;Https://www.debogeretout.com
2Sevi Informatique;Maintenance - Réparations informatiques;U poghju Évisa (20126);0613483475;https://www.2sevi-informatique.corsica
AJR Transcription;Rédaction de procès-verbaux / Assistance juridique;Herblay (95220);07.50.52.81.80;http://ajrt.fr
Guillaume Orsal;Ingénieur informatique freelance;Paris 15 (75015);0660314757;https://www.orsal.fr
Isabelle Berthé;Sophrologue;26 avenue Hache L'Haÿ-les-Roses (94240);06-73-42-02-03;http://isabelleberthe.free.fr
FormaTIM-Mechanical Concept;Fomateur indépendant en conception mécanique;1, rue des Oliviers Montech (82700);0615749020;http://www.formatimmc.com/
LAURENCE CHERIFAT - ACADEMIE DE NURSING;Formatrice;66 boulevard des Poilus Nantes (44300);0664706891;https://academiedenursing.jimdo.com
Nelly Renault;Traductrice Relectrice indépendante;Jouy-en-Josas (78350);0618204433;https://www.nellyrenault-traduction.fr/
Agence Tourvieille;publicité par l'Objets et Textiles Publicitaires, goodies;85 chemin des mars Val-de-Fier (74150);0685750209;http://www.pub-kdo.com/
Jean-Pierre MÉRESSE;Assistance et Formation Informatique / Développement Web;Montpellier (34090);0766290008;https://www.jipweb.net
EMILIE NARDY;Consultante en référencement web;1112 allée des thermes Juvignac (34990);0679782439;https://www.emilie-nardy.com/
Eur'Expert;Service de bureau  - Support administratif;Uzein (64230);0564270672;http://www.eurexpert.net
La Grussan-Hôtes;Commerçant;5 avenue Général Azibert Gruissan (11430);0603273246;http://www.la-grussan-hotes-gruissan.com
Lucas OLLIVIER;Consultant SEO;Bordeaux (33000);;https://lucas-ollivier.fr/
k.vosse3D;nettoyage / hygiène;34 rue de l'Essonne Evry (91000);0673245475;
Angency Communication;Responsable Web Digital & Créative Design;Villiers-le-Bel (95400);0633737853;https://angency-communication.fr
laurence dray;psychopraticienne/ :cabinet de psychotherapie/formatrice individuel et professionnel;39 rue francis de pressense Villeurbanne (69100);0686138297;
Amma Détente;Massage bien être;Draveil (91210);;https://massage-ammadetente.com
Un guide à Paris;Guide Conférencière;Paris 18 (75018);;https://unguideaparis.com/
RangerCfacile;Coach en rangement et en organisation;bat 9 23 rue champ lagarde Versailles (78000);0623360663;http://rangercfacile.org
ICET;Ingénieur concepteur d'espaces de travail;411 rue de bouillibaye Six-Fours-les-Plages (83140);0615473696;
WINET ENTREPRISE;Services de nettoyage spécialisé pour particuliers et professionnels;Allée 20 85 Avenue du 8 Mai 1945 Vaulx-en-Velin (69120);0983363978;http://www.winet-entreprise.fr/
Aude Alquier;Professeur de chant;colomiers Colomiers (31770);0615406261;http://www.cours-chant-toulouse.fr
FRANCK NAUTISME;Entretien et réparation de bateaux de plaisance;693 Avenue de Mazargues Marseille (13009);0609174482;http://www.francknautisme.fr
Drs menuiseries;menuisier;12 rue des freres lumiere Dunkerque (59240);0782020173;
ATP BARBET REGIS;ASSAINISSEMENT - TERRASSEMENT;1 lieudit Villarmoy Marboué (28200);06.22.09.56.93;http://atpbarbet.monsite-orange.fr/
LAMBART Patrick;Pose de joints sur plaque de platre;76 Cote du rest - Le Rusquet Lannion (22300);06.34.95.61.29;
OULOUNIS FORMATIONS;Formatrice relation relation et techniques de conduite d'entretien;2 place Xavier JOUVIN Grenoble (38000);0662753051;
Cécile TRANIER;Psychologue Clinicienne/Psychothérapeute;15 Avenue Saint-Jacques Savigny-sur-Orge (91600);0637719527;
My Daily Partner;Assistant personnel - Conciergerie privée;Nogent-sur-Marne (94130);0612828776;http://www.mydailypartner.com
M-pose;Métallier -Plomblier - Serrurier;Andrest (65390);0786788319;https://m-pose.webnode.fr/contact/
Cé 4 Pattes;kinésiologue animale;Saint-Père-en-Retz (44320);0674957487;http://www.ce4pattes.fr
Géomatik Karaïb;Géomaticien;C211 résidence Grand Cap La Bouaye Gosier (97190);0690446153;http://www.geomatik-karaib.fr
DB SERVICES;COURANT FORT;TRAVERSE VAL D'AZUR La Ciotat (13600);0680180241;
Manosque Assistance Implantation Provence  (M.A.I.P.);Domiciliation Commerciale à Manosque;Les Terrasses du Sud Bât. C1 221rue d'en dessous Manosque (04100);0614302958;http://www.maip-provence.com
estechou;créatrice de vêtements et accessoires femmes et enfants;Caen (14000);;https://www.etsy.com/fr/shop/Estechou
JMe Ingénierie;MAITRE D'OEUVRE TCE - AMO - OPC;20,Avenue du Maréchal Leclerc CHARLEVILLE MEZIERES (08000);0622212029;http://www.joel-meteau.fr
BUREAU D’ETUDES VEGAFLORA – Etudes environnementales;Ingénieur d'études environnement;131, chemin de Perravex bas Arbusigny (74930 );0458665174;
La Page Blanche;Conseils en communication / Graphisme / Site web;Mulhouse (68100);0642172503;http://lapageblanche.net
Secrétaire indépendante 76;Secrétaire;Le Havre (76620);0659163232;http://www.secretaire-independante76.fr
UNE HISTOIRE DE MODE;commerce de loisirs créatifs;Cormelles-le-Royal (14123);;https://www.une-histoire-de-mode.fr
REBILLARD Lynette;Formatrice d'anglais;Laubrières (53540);0662217143;https://www.a2b-concept.com/
Pascal Prat;Ingénieur en développement logiciel;Avignon (84140);;https://pascalprat.fr
Frédérique Plassais;Brodeuse d'art spécialisé broderie perlée;Bobigny (93000);;
Smart Projects Europe;Consultant en management de projet - H2020, Innovation, Coopération Internationale;Lyon (69005);0781091314;
Véronique HATOT;Sophrologue & Psychopraticienne;117 Rue Du Bief Bonne (74380);0637188202;http://www.vhatot.com
DORIA Monique;commercial dans le routage;115 rue de noisy le sec Lilas (93260);0680044964;
ValorConseil;Consultant Microsoft Windows, Office 365 & Azure;8 avenue du Général Leclerc Pau (64000);+33547657070;https://www.valor.pro
maurice benharrous;syndic non professionnel a titre occasionnelle non inscrit au registre du commerce;15 quai de la garonne 75019 paris Paris 11 (75011);0614940815;
Maryline Pinton;traductrice;1 impasse Phéline Maussifrotte La Mézière (35520);0299839286;https://www.marylinepinton.com
Metaphora Traduction;Rédacteur SEO (Optimisation du contenu pour les moteurs de recherche);Avenue du stade Halluin (59250);0672878075;http://www.metaphora-traduction.fr/
centre d'affaire Bongarde;location de bureaux 10m²;5 boulvard gallieni Villeneuve-la-Garenne (92390);0141211000;
